UNITID,EFCSTATE,LINE,EFRES01,EFRES02 
110714,47,47,205,204.0
110714,48,48,179,178.0
110714,49,49,2,2.0
110714,50,50,1,1.0
110714,51,51,60,60.0
110714,53,53,6,6.0
110714,54,54,2,2.0
110714,55,55,9,8.0
110714,58,999,576,415.0
110714,68,68,1,1.0
110714,89,999,1,1.0
110714,99,99,576,415.0
110714,5,5,134,131.0
110714,5,5,2,2.0
110714,6,6,2,2.0
110714,8,8,2,2.0
110714,12,12,7,7.0
110714,13,13,53,53.0
110714,17,17,2,1.0
110714,20,20,2,1.0
110714,21,21,1,1.0
110714,22,22,2,2.0
110714,25,25,1,1.0
110714,28,28,3,3.0
110714,30,30,1,1.0
110714,31,31,1,1.0
110714,37,37,1,1.0
110714,44,44,1,1.0
110714,45,45,2,2.0
110714,47,47,21,20.0
110714,48,48,2,1.0
110714,51,51,1,1.0
110714,58,999,241,234.0
110714,90,90,3,0.0
110714,99,99,244,234.0
110714,5,5,183,146.0
110714,13,13,40,26.0
110714,22,22,1,1.0
110714,58,999,224,173.0
110714,99,99,265,173.0
110714,5,5,17,0.0
110714,58,999,17,0.0
110714,99,99,17,0.0
110714,5,5,426,306.0
110714,12,12,15,13.0
110714,13,13,6,6.0
110714,15,15,1,1.0
110714,28,28,2,1.0
110714,39,39,1,0.0
110714,48,48,1,1.0
110714,57,57,1,1.0
110714,58,999,453,329.0
110714,99,99,462,329.0
110714,5,5,576,415.0
110714,8,8,1,0.0
110714,12,12,65,60.0
110714,13,13,16,16.0
110714,17,17,1,0.0
110714,18,18,1,0.0
110714,20,20,1,1.0
110714,21,21,3,2.0
110714,22,22,15,13.0
110714,25,25,1,1.0
110714,28,28,8,8.0
110714,29,29,1,1.0
110714,33,33,1,1.0
110714,34,34,1,0.0
110714,37,37,1,1.0
110714,47,47,1,0.0
110714,48,48,4,4.0
110714,58,999,576,415.0
110714,99,99,576,415.0
110714,5,5,152,127.0
110714,5,5,1,1.0
110714,6,6,1,1.0
110714,12,12,15,15.0
110714,13,13,9,9.0
110714,22,22,4,3.0
110714,25,25,6,0.0
110714,28,28,7,6.0
110714,29,29,1,1.0
110714,31,31,1,1.0
110714,39,39,1,1.0
110714,42,42,1,0.0
110714,47,47,6,6.0
110714,48,48,5,5.0
110714,58,999,210,176.0
110714,90,90,13,12.0
110714,99,99,225,188.0
110714,5,5,576,415.0
110714,13,13,6,3.0
110714,22,22,1,1.0
110714,42,42,1,0.0
110714,47,47,2,1.0
110714,57,57,2,2.0
110714,58,999,576,415.0
110714,90,90,4,0.0
110714,99,99,576,415.0
110714,5,5,37,3.0
110714,58,999,37,3.0
110714,99,99,37,3.0
110714,5,5,576,415.0
110714,12,12,15,9.0
110714,13,13,25,14.0
110714,22,22,1,1.0
110714,26,26,1,1.0
110714,58,999,576,415.0
110714,99,99,576,415.0
110714,5,5,576,415.0
110714,5,5,1,1.0
110714,9,9,1,0.0
110714,12,12,3,2.0
110714,13,13,7,4.0
110714,20,20,1,1.0
110714,25,25,1,0.0
110714,26,26,1,1.0
110714,28,28,3,3.0
110714,47,47,3,2.0
110714,48,48,2,1.0
110714,57,57,3,1.0
110714,58,999,576,415.0
110714,99,99,576,415.0
110714,5,5,265,198.0
110714,12,12,2,1.0
110714,58,999,267,199.0
110714,99,99,273,199.0
110714,5,5,87,3.0
110714,13,13,7,1.0
110714,22,22,2,0.0
110714,28,28,3,0.0
110714,58,999,99,4.0
110714,99,99,99,4.0
110714,5,5,176,174.0
110714,6,6,1,1.0
110714,8,8,1,1.0
110714,12,12,33,32.0
110714,13,13,25,25.0
110714,22,22,3,3.0
110714,24,24,2,2.0
110714,28,28,3,3.0
110714,32,32,1,1.0
110714,34,34,1,1.0
110714,37,37,2,2.0
110714,39,39,1,1.0
110714,40,40,1,1.0
110714,45,45,1,1.0
110714,47,47,4,4.0
